baseline,corrupted_baseline,edges,edges_EAP-IG,loss_EAP-IG
8.40956974029541,-8.299386978149414,0,0,-8.299386978149414
8.40956974029541,-8.299386978149414,100,64,-1.3141162395477295
8.40956974029541,-8.299386978149414,200,147,0.04584607481956482
8.40956974029541,-8.299386978149414,300,266,0.2955445647239685
8.40956974029541,-8.299386978149414,400,367,0.48744285106658936
8.40956974029541,-8.299386978149414,500,453,0.6330508589744568
8.40956974029541,-8.299386978149414,600,548,0.32832881808280945
8.40956974029541,-8.299386978149414,700,643,0.6115977168083191
8.40956974029541,-8.299386978149414,800,742,0.4466995894908905
8.40956974029541,-8.299386978149414,900,850,0.8963026404380798
8.40956974029541,-8.299386978149414,1000,960,0.6397714018821716
8.40956974029541,-8.299386978149414,1100,1064,0.5926099419593811
8.40956974029541,-8.299386978149414,1200,1164,0.4710143506526947
8.40956974029541,-8.299386978149414,1300,1269,0.4096442759037018
8.40956974029541,-8.299386978149414,1400,1372,0.5889115929603577
8.40956974029541,-8.299386978149414,1500,1471,0.4471399486064911
8.40956974029541,-8.299386978149414,1600,1573,0.5834077596664429
8.40956974029541,-8.299386978149414,1700,1673,0.5778423547744751
8.40956974029541,-8.299386978149414,1800,1775,1.7569812536239624
8.40956974029541,-8.299386978149414,1900,1874,0.6875993609428406
8.40956974029541,-8.299386978149414,2000,1974,0.5725245475769043
